File name	Work ID	Wikipedia link	Full Sanskrit title	Paired Sanskrit English Delivered	Aligned lines	Alignment quality	Source/copyright Sanskrit	source/copyright English	Editor 	Author(s)	Translator (if available)	not before	not after	length (tokens)	Note	Translation available	PDF on Google Drive	Translation details (if no PDF available)	assigned	completed
SA_GK19_ruphamdu	GK19ruphamdu		Haṃsadūta	yes		vecalign high	clay			Rūpa Gosvāmī				2,215.00	clay book 13	yes				
SA_GK19_utraca	GK19utraca		Uttararāmacarita	yes	1323	vecalign high	clay			Bhavabhūti 		700	800.0		clay book 26	yes				
SA_GK20_anrghu	GK20anrghu		Anargha/rāghava	yes	1675	vecalign high	clay			Murāri					clay book 6	yes				
SA_GK20_ksakunpu	GK20ksakunpu		Abhijñānaśākuntala	yes	1845	vecalign high	clay			Kālidāsa		400	499.0	11,976.00	clay	yes	yes		SN	yes
SA_GK20_mrtiu	GK20mrtiu		Mṛcchakaṭikā	yes	2981	vecalign high	clay			Shūdraka					clay book 14	yes				
SA_GK20_urmc_u	GK20urmc_u		Uttararāmacārita	yes	859	vecalign high	clay			Bhava-bhuti					clay	yes				
SA_GK21_brkas_pu	GK21brkas_pu		Bṛhatkathāślokasaṃgraha	yes	3798	vecalign		???		Buddhasvāmin				48,755.00		yes	etext from Suhash on google drive		SN	no
SA_GK21_hitop_u	GK21hitop_u		Hitopadeśa	yes	3209	vecalign high	clay			Nārāyaṇa		700	800.0	19,767.00	clay book 19	yes				
SA_GK21_sokss	GK21sokss		Kathāsaritsāgara	yes	14953	vecalign	wisdomlib			Somadeva		1063	1081.0	228,287.00	wisdomlib	yes		https://www.wisdomlib.org/hinduism/book/kathasaritsagara-the-ocean-of-story https://www.wisdomlib.org/hinduism/book/kathasaritsagara-sanskrit	SN	yes
SA_GK21_suksaptu	GK21suksaptu		Śukasaptati	yes	817	vecalign	gretil	archive						14,727.00						
SA_GK22_msubhs	GK22msubhs		Mahāsubhāṣitasaṅgraha	yes	13351	claude very high								120,398.00	github	yes	yes	We extracted this with regexes -> higher quality than vecalign	SN	yes
SA_GK22_vispancu_e	GK22vispancu		Pañcatantra	yes	1625	bertalign very high	archive mitra ocr	archive mitra ocr	Edgerton		Edgerton									
SA_GK22_vispancu_e_olivelle	GK22vispancu		Pañcatantra	yes	1900	bertalign very high	gretil	olivelle copyright		Viṣṇuśarma	Olivelle									
SA_GK22_vispancu	GK22vispancu		Pañcatantra	yes	3875	vecalign	internet			Viṣṇuśarma				47,032.00	sacred-texts	yes			SN	yes
SA_GP10_bhp	GP10bhp		Bhāgavata-Purāṇa	yes	13,005	gold										yes		human-aligned high quality 	SN	yes
SA_GP11_brahmppu	GP11brahmppu		Brahma-Purāṇa	yes	7542	vecalign	wisdomlib						1241.0	163,778.00	wisdomlib	yes		https://www.wisdomlib.org/hinduism/book/brahma-purana-english	Sai	
SA_GP11_padmpp	GP11padmpp		Padma-Purāṇa	yes	44,390	vecalign	wisdomlib							550,000.00 slokas	wisdomlib	Yes		https://www.wisdomlib.org/hinduism/book/the-padma-purana	Manoj	yes
SA_GP12_agp_bi_u	GP12agp_bi_u		Agni-Purāṇa	yes	15,947	vecalign	wisdomlib							128,470.00	wisdomlib	yes		https://www.wisdomlib.org/hinduism/book/the-agni-purana	Sai	
SA_GP12_garup	GP12garup		Garuḍa-Purāṇa	TODO: alignment problems	6134	vecalign	wisdomlib							71,132.00	wisdomlib; sacred texts	yes		https://www.wisdomlib.org/hinduism/book/the-garuda-purana-dutt	KK	yes
SA_GP12_sivap	GP12sivap		Śiva-Purāṇa	yes	20,777	vecalign	wisdomlib					400	600.0	10,060.00	wisdomlib	yes		https://www.wisdomlib.org/hinduism/book/shiva-purana-english	KK	yes
SA_GP12_skp	GP12skp		Skandapurāṇa	yes	67,065	partly gold (34k); rest vecalign	wisdomlib							17,396.00	wisdomlib	yes		The Skanda Purana by G. V. Tagare	Manoj	yes
SA_GP12_vipce	GP12vipce		Viṣṇu-Purāṇa	yes	4889	vecalign	wisdomlib					400	500.0	73,256.00	wisdomlib	yes		https://www.wisdomlib.org/hinduism/book/vishnu-purana-wilson	Harsh 	yes
SA_GR14_garsa	GR14garsa		Garga Saṃhita	yes	4436	gold (?)	wisdomlib													
SA_GR14_parasa	GR14parasa			yes	1077	gold (?)		likely copyright												
SA_GR14_vedsy	GR14vedsy		Vedānta Symantaka	yes	83	gold (?)	?	archive public domain												
SA_GR14_vrima	GR14vrima		Vrindavana Mahāmṛta 	yes	1649	gold (?)	?	archive public domain												
SA_GS38_kautil	GS38kautil		Arthaśāstra	yes	6199			public domain		Kauṭilya		-300	-100.0	39,363.00		yes		Olivelle; andere Uebersetzung via archive.org auch verfuegbar		
SA_GS39_kamasufu	GS39kamasufu		Kāmasūtra	yes	1730	vecalign	under copyright			Vātsyāyana		350	425.0	17,723.00	github	yes	yes			
SA_GS40_caraka	GS40caraka		Carakasaṃhitā	yes	13,508	claude very high	https://www.carakasamhitaonline.com/index.php?title=Main_Page	web resource		Agniveśa				27,474.00	skip	yes		scraped from here: https://www.carakasamhitaonline.com/index.php?title=Main_Page 		
SA_GS40_susruta	GS40susruta		Suśrutasaṃhitā	yes	10,234	vecalign	wisdomlib			Suśruta		200	400.0		wisdomlib	yes		https://www.wisdomlib.org/hinduism/book/sushruta-samhita-volume-1-sutrasthana more chapters are available		
SA_GSD36_manu_o	GSD36manu_o		Manusmṛti	yes	2,070	bertalign very high	ocr mitra	ocr mitra copyright	Olivelle		Olivelle									
SA_GSD36_manu	GSD36manu		Manusmṛti	yes	2,193	gold	https://github.com/priyanshu2103/Sanskrit-Hindi-Machine-Translation/tree/main/parallel-corpus/sanskrit-english							31,496.00	skip			human aligned high quality	SN	yes
SA_GSD36_manubhau	GSD36manubhau		Manubhāṣya	yes	28,013	vecalign	wisdomlib			Medhātithi					wisdomlib	yes		https://www.wisdomlib.org/hinduism/book/manusmriti-with-the-commentary-of-medhatithi	SN	yes
SA_GSD36_visnu	GSD36visnu		Viṣṇusmṛti	yes	2795	vecalign	sacred texts				Jolly			14,123.00	sacred texts	yes			SN	yes
SA_GSD37_apastd_u	GSD37apastd_u		Āpastamba-Dharmasūtra	yes	1254	vecalign	sacred texts							7,885.00	sacred-text 	yes			SN	yes
SA_GSD37_baudhasuu	GSD37baudhasuu		Baudhāyana-Dharmasūtra	yes	1169	vecalign									wisdomlib	yes		https://www.wisdomlib.org/hinduism/book/baudhayana-dharmasutra	SN	yes
SA_GSD37_baudhd_u	GSD37baudhd_u		Baudhāyana-śrautasūtra TODO: This is mislabeled! Wrong ID	yes	11,959									11,794.00		yes				
SA_GSD37_gautdh_u	GSD37gautdh_u		Gautama-Dharmasūtra	yes	950	vecalign	sacred texts							4,323.00		yes			SN	yes
SA_GSD37_vasist_u	GSD37vasist_u		Vāsiṣṭadharmasūtra	TODO: missing	990	vecalign	sacred texts							5,628.00	wisdomlib; sacred text	yes		https://www.wisdomlib.org/hinduism/book/vasistha-dharmasutra	SN	yes
SA_GSP27_yogva	GSP27yogva		Yogavasiṣṭha	yes	28,241	gold	wisdomlib								wisdomlib	yes		human-aligned high quality	SN	yes
SA_GSP28_tantrava	GSP28tantrava		Mīmāṃsāsūtra Tantravarttika	yes	15,715	vecalign		archive								yes, Ganganath Jha				
SA_GSP29_nyapra	GSP29nyapra		Nyāyaprakāśa	yes	1168	bertalign high	archive	archive	Edgerton		Edgerton									
SA_GSP29_nyamanu	GSP29nyamanu		Nyāyamañjari	yes	8118	vecalign		archive		Jayanta Bhatta		900	1000.0		github	yes	yes		SN	yes
SA_GSP30_mabhai	GSP30mabhai		Manthanabhairava Tantra	yes	8131	vecalign		likely copyright												
SA_GSP30_tantralu1	GSP30tantralu1		Tantrāloka	yes	5230	bertalign	gretil	Mark (copyright protected?)		Abhinavagupta	Mark	800	1099.0			yes			SN	yes
SA_GSP30_tantralu2	GSP30tantralu2		Tantrāloka	yes	5481	vecalign	archive.org opensource(?) translation			Abhinavagupta	Singh	800	1099.0	46,281.00	github	yes				
SA_GSP30_utipk	GSP30utipk		Īśvarapratyabhijñāvṛtti	yes	521	vecalign; English cleanup is so low that we can't use this for training yet	under copyright		Torella	Utpaladeva				5,078.00	github	yes	yes	Sanskrit and English in same book		
SA_GSP31_iskamatu	GSP31iskamatu		Sāṃkhyakārikā [Sāṃkhyasaptati]	yes	637	vecalign		public domain		Īśvarakṛṣṇa		300	400.0	13,331.00	github	yes	yes			
SA_GSP31_jaymangu	GSP31jaymangu		Sāṃkhyakārikā [Sāṃkhyasaptati]	yes	684	vecalign				Īśvarakṛṣṇa				7,316.00						
SA_GSP33_brasusau	GSP33brasusau		Brahmasūtra (Śaṅkarabhāṣya)	yes	6102	vecalign	wisdomlib			Śaṅkara 					wisdomlib	yes; sanskrit on google drive		https://www.wisdomlib.org/hinduism/book/brahma-sutras https://www.wisdomlib.org/hinduism/book/brahma-sutras-thibaut		
SA_GSP33_jimuvi	GSP33jimuvi		Jīvanmuktiviveka	yes	2042	vecalign		public domain		Mādhava		1350	1400.0			yes	yes			
SA_GSP33_vacbhamu	GSP33vacbhamu		Bhāmatī	yes	1637	vecalign		public domain		Vācaspati				76,133.00						
SA_GSP36_sadha	GSP36sadha		Sarva-darśana-saṃgraha	yes	1795	vecalign	wisdomlib			Mādhava		1370	1380.0		wisdomlib	yes		https://www.wisdomlib.org/hinduism/book/the-sarva-darsana-samgraha/d/doc79758.html	SN	yes
SA_GV00_avs	GV00avs		Atharvaveda-Saṃhitā	yes	4306	vecalign	sacred texts				Griffiths			85,025.00	sacred texts	yes				
SA_GV00_avs2	GV00avs2		Atharvaveda-Saṃhitā	yes	3370	bertalign high	gretil	archive			Whitney									
SA_GV00_samavedu	GV00samavedu		Sāmaveda-Saṃhitā	yes	1543	vecalign	archive	public domain			Griffiths			19,268.00	sacred texts	yes				
SA_GV01_rvh	GV01rvh		Ṛgveda	yes	13,453	gold	https://github.com/priyanshu2103/Sanskrit-Hindi-Machine-Translation/tree/main/parallel-corpus/sanskrit-english							159,147.00	source: various	yes		Human aligned high quality	SN	yes
SA_GV02_gopbra_u	GV02gopbra_u		Gopathabrāhmaṇa	TODO: Missing/low quality	2956									32,023.00						
SA_GV03_sb	GV03sb		Śatapatha-Brāhmaṇa	yes	7551	vecalign	sacred texts							17,348.00	sacred texts	yes			SN	yes
SA_GV05_upanisads	GV05upanisads		13 Upaniṣads	yes	396	claude	archive.org	archive			Radhakrishnan									
SA_GV05_upanisads2	GV05upanisads2		112 Upaniṣads	yes	3610	claude	archive.org				Board of Scholars									
SA_GV05_chup	GV05chup		Chāndogya-Upaniṣad	yes	621	gold	wisdomlib							45,320.00	wisdomlib; sacred text	yes		https://www.wisdomlib.org/hinduism/book/chandogya-upanishad-english	KK	yes
SA_GV05_chupsau	GV05chupsau		Chāndogya-Upaniṣad (Śaṅkarabhāṣya)	yes	5546	vecalign	wisdomlib			Śaṅkara					wisdomlib	yes		https://www.wisdomlib.org/hinduism/book/chandogya-upanishad-shankara-bhashya	KK	yes
SA_GV05_kathop_u	GV05kathop_u		Kaṭha-Upaniṣad	TODO: Missing	121	vecalign	sacred texts							1,868.00	sacred texts	yes			SN	yes
SA_GV06_apastgcu	GV06apastgcu		Āpastamba-Gṛhyasūtra	yes	361	vecalign	sacred text				Oldenberg			37,386.00		yes			SN	yes
SA_GV06_gogrsuu	GV06gogrsuu		Gobhila-Gṛhyasūtra	yes	1001	vecalign	sacred texts				Oldenberg				wisdomlib; sacred text	yes		https://www.wisdomlib.org/hinduism/book/gobhila-grihya-sutra	SN	yes
SA_GV06_sankhgsu	GV06sankhgsu		Śāṅkhāyana-Gṛhyasūtra	yes	969	bertalign high	sacred texts				Oldenberg			1,354.00	wisdomlib; sacred texts	yes		https://www.wisdomlib.org/hinduism/book/sankhayana-grihya-sutra	SN	yes
SA_GV_kyajurvedu	GVkyajurvedu		Kṛṣṇa-Yajurveda	yes	7966	vecalign	sacred texts				Keith				sacred texts	yes				
SA_GV_kyatp	GVkyatp		Kṛṣṇa-Yajurveda: Taittirīya-Prātiśākhya	TODO: Missing	488	gold	internet (to be clarified)								titus	yes		human aligned high quality	SN	yes
SA_GV_syajurvedu2	GVsyajurvedu2		Śukla-Yajurveda	yes	1790	Claude very high	archive.org	archive.org												
SA_GV_syajurvedu	GVsyajurvedu		Śukla-Yajurveda	yes	1903	vecalign	sacred texts				Griffiths				sacred texts	yes				
SA_K01_vinv06_u	K01vinv06_u		Bhaiṣajyavastu	yes	4783	vecalign	84000							40,972.00		yes			SN	yes
SA_K06_bsu054_u	K06bsu054_u		Prajñāpāramitāhṛdayasūtra	yes	16	vecalign	84000							117.00		yes			SN	yes
SA_K08_bsu029_u	K08bsu029_u		Rāṣṭrapālaparipṛcchā [Rāṣṭrapālaparipṛcchāsūtra]	yes	1086	vecalign	84000							7,588.00		yes			SN	yes
SA_K10_ayuhparu	K10ayuhparu		Āyuḥparyantasūtra	yes	237	vecalign	84000							2,168.00		yes			SN	yes
SA_K10_arthaviniscaya	K10arthaviniscaya		Arthaviniścayasūtra + Nibandhana				mitra OCR copyright		Samtani	Vīryaśrīdatta										
SA_K10_bsu005_u	K10bsu005_u		Arthaviniścayasūtra	yes	479	vecalign	84000							3,846.00		yes			SN	yes
SA_K10_bsu022_u	K10bsu022_u		Lalitavistara [Lalitavistarasūtra]	yes	7110	vecalign	84000							50,320.00	skip	yes			SN	yes
SA_K10_bsu025_u	K10bsu025_u		Nairātmyaparipṛcchāmahāyānasūtra	yes	78	vcalign	84000							493.00		yes	yes		SN	yes
SA_K10_bsu031	K10bsu031		Śālistambasūtra	yes	236	vecalign	84000							1,698.00		yes	yes		SN	yes
SA_K10_bsu034_u	K10bsu034_u		Samādhirājasūtra	yes	6062	vecalign	84000							39,371.00		yes			SN	yes
SA_K10_bsu036_u	K10bsu036_u		Saddharmapuṇḍarīkasūtra	yes	5003	vecalign	84000							44,782.00	skip	yes			SN	yes
SA_K10_bsu061_u	K10bsu061_u		Vimalakīrtinirdeśasūtra [Vimalakīrtinirdeśa]	yes	1969	vecalign	84000							13,054.00		yes			SN	yes
SA_K10_jnalokau	K10jnalokau		Jñānālokālaṃkāra sūtra [Sarvabuddhaviṣayāvatārajñānālokālaṃkāra nāma mahāyānasūtra, Sarvabuddhaviṣayāvatārajñānalokālaṃkārasūtra]	yes	1089	vecalign	84000							7,119.00		yes			SN	yes
SA_K10_mkarmviu	K10mkarmviu		Mahākarmavibhaṅga	yes										8,730.00	suttacentral	yes			SN	yes
SA_K10_n260u	K10n260u		Arthaviniścayasūtra	yes	456	vecalign	84000							3,681.00		yes			SN	yes
SA_K10_n552u	K10n552u		Āryābuddhabalādhānaprātihāryavikurvaṇanirdeśanāma mahāyānasūtra	yes	79	vecalign	84000							726.00		yes			SN	yes
SA_K10_vimkn_u	K10vimkn_u		Vimalakīrtinirdeśa [Vimalakīrtinirdeśasūtra]	yes	1983	vecalign	84000							16,428.00		yes			SN	yes
SA_K12_bsu003_u	K12bsu003_u		Aparimitāyuḥsūtra	yes	56	vecalign	84000							694.00		yes			SN	yes
SA_K12_bsu007_u	K12bsu007_u		Śrīmahādevīvyākaraṇa [Śrīmahādevīvyākaraṇasūtra, Dvādaśadaṇḍakanāmāṣṭaśatavimalīkaraṇā]	yes	74	vecalign								609.00		yes			SN	yes
SA_K12_mamuka	K12mamuka		Mañjuśrīmūlakalpa [Āryamañjuśrī Mūlakalpa]	yes	7010	vecalign														
SA_K12_manjn1pu	K12manjn1pu		Mañjuśrīnāmasaṃgīti	yes	182	vecalign								1,916.00						
SA_K12_mspram_u	K12mspram_u		Mahāsāhasrapramardanī	yes	925	vecalign	84000							6,438.00		yes			SN	yes
SA_K12_n259u	K12n259u		Aparimitāyunāmamahāyānasūtra	yes	83	vecalign	84000							735.00		yes			SN	yes
SA_K12_n283u	K12n283u		Bhaiṣajyaguruvaidūryaprabharājasūtra	yes	170	vecalign	84000							2,027.00		yes			SN	yes
SA_K12_n2967u	K12n2967u		Śrīguhyasamājatantra	yes	1042	vecalign	A PHD thesis found on the internet							11,960.00						
SA_K14_mhvastuu	K14mhvastuu		Mahāvastu-avadāna	yes	15,615	vecalign								178,044.00	skip					
SA_T02_narsekou	T02narsekou		Sekoddeśa [Sekoddeśaṭikā]	yes	341	vecalign	84000			Nāropa				1,471.00	skip (84.000?)	yes			SN	yes
SA_T04_bsa047	T04bsa047		Bhāvanākrama	yes	915	vecalign				Kamalaśīla				10,443.00	github	yes	yes			yes
SA_T04_sanssr	T04sanssr		Śikṣāsamuccaya	yes	5445	vecalign	under copyright?			Śāntideva		700	799.0	46,481.00	github	yes			SN	yes
SA_T04_tat	T04tat		Tattvasaṃgraha	yes	1,982	vecalign high	wisdomlib													
SA_T04_tatpa	T04tatpa		Tattvasaṃgrahapañcikā	yes	18,058	vecalign	wisdomlib													
SA_T06_asabhs_u	T06asabhs_u		Abhidharmasamuccaya	yes	2730	vecalign	under copyright(?)			Asaṅga		330	405.0	14,428.00	github	yes	yes	Sanskrit partly reconscructed from Chinese	SN	yes
SA_T06_asmahsuu	T06asmahsuu		Mahāyānasūtrālaṃkāra	yes	4137	vecalign	under copyright			Vasubandhu				23,743.00	yes	yes	yes		SN	yes
SA_T06_bsa018	T06bsa018		Triṃśikāvijñaptikārikā [Triṃśikākārikā]	yes	32	vecalign	Anacker seven works of Vasubandhu PDF			Vasubandhu		350	430.0	262.00	github	yes	yes		SN	yes
SA_T06_bsa034	T06bsa034		Bodhisattvabhūmi	yes	5163	vecalign	under copyright		Dutt	Asaṅga		230	300.0	39,822.00	github	yes		Imported from Monlam	SN	yes
SA_T06_bsa065	T06bsa065		Pañcaskandhaprakaraṇa	yes	154	vecalign		Anacker public domain		Vasubandhu		350	430.0	1,119.00		yes	yes			
SA_T06_pskvbhu	T06pskvbhu		Pañcaskandhakavibhāṣā	yes	1793	vecalign		under copyright	Jowita Kramer	Sthiramati		470	550.0	12,819.00	monlam	yes			SN	yes
SA_T06_sthtvbh	T06sthtvbh		Triṃśikāvijñaptibhāṣya [Triṃśikābhāṣya]	yes	697	vecalign	Jacobi 1932, PDF from unknown source		Buescher	Sthiramati		470	550.0	6,061.00	github	yes	yes	English translation is a forward-translation of Jacobi's German translation with surprisingly good quality	SN	yes
SA_T06_bsa022_u	T06bsa022		Viṃśatikā vijñaptimātratāsiddhi [Viṃśikāvṛtti] kārikā	yes																
SA_T06_vasvvmsu	T06vasvvmsu		Viṃśatikā vijñaptimātratāsiddhi [Viṃśikāvṛtti]	yes	133	vecalign	Anacker seven works of Vasubandhu PDF			Vasubandhu		350	430.0	1,639.00	github	yes	yes	Anacker	SN	yes
SA_T06_vmvkbh_u	T06vmvkbh_u		Madhyāntavibhāgabhāṣya [Madhyāntavibhāgakārikābhāṣya]	yes	642	vecalign	Anacker seven works of Vasubandhu PDF		Nagao	Vasubandhu		350	430.0	5,564.00	github	yes	yes	Anacker	SN	yes
SA_T07_hvsatssu	T07hvsatssu		Satyasiddhiśāstra [Tattvasiddhiśāstra]	yes	11079	vecalign			Sastri(?)	Harivarman		250	350.0	0.00	Imported from ZH data collection	yes		SKT is reconstruction based on ZH	SN	yes
SA_T06_sthmavtyg	T06sthmavtyg		Madhyāntavibhāgaṭīkā (Yamaguchi)	yes			OCR (archive?)			Sthiramati 										
SA_T06_sthmavt	T06sthmavt		Madhyāntavibhāgaṭīkā	yes	2955	vecalign	https://openresearch-repository.anu.edu.au/handle/1885/12988		Pandeya	Sthiramati		470	550.0			yes	yes			yes
SA_T06_sthmavt1	T06sthmavt1		Madhyāntavibhāgaṭīkā Chapter 1	yes	933	vecalign		public domain	Friedman			470	550.0							
SA_T07_vakobhau1	T07vakobhau1		Abhidharmakośabhāṣya Chapter 1	yes	850	bertalign high	under copyright	based on japanese	Ejima			380	390.0							
SA_T07_vakobhau	T07vakobhau		Abhidharmakośabhāṣya	yes	21,130	vecalign	under copyright		Pradhan	Vasubandhu	Pruden; Sangpo	380	390.0	66,067.00	github	yes	yes	Both Sangpo and Pruden translations are digitized and delivered	SN	yes
SA_T07_vakobhau9	T07vakobhau9		Abhidharmakośabhāṣya Chapter 9 	yes	335	vecalign	under copyright		Pradhan	Vasubandhu	James Duerlinger	380	390.0		github	yes	yes		SN	yes
SA_T07_vakobhk	T07vakobhk		Abhidharmakośakārikā	yes	599	gold	internet		Pradhan	Vasubandhu		380	390.0	4,965.00	github	yes	yes	Human grade quality extracted from a website	SN	yes
SA_T09_hjatm	T09hjatm		Jātakamālā	yes	3095	vecalign	https://www.ancient-buddhist-texts.net/English-Texts/Garland-of-Birth-Stories/index.htm			Haribhaṭṭa		400	500.0	21,237.00		yes	yes			
SA_T17_bsa007_u	T17bsa007_u		Dharmasaṃgraha	yes						Nāgārjuna				1,794.00	suttacentral	yes			SN	yes
SA_XX_bible	XXbible		Sanskrit Bible	yes			https://github.com/priyanshu2103/Sanskrit-Hindi-Machine-Translation/tree/main/parallel-corpus/sanskrit-english													
SA_XX_n2890u	XXn2890u		Caṇḍamahāroṣaṇatantra	yes	392	vecalign								0.00						
SA_GE07_bhg4c01u	GE07bhg		Bhagavadgītā 1											4,768.00	wisdomlib	yes		https://www.wisdomlib.org/hinduism/book/the-bhagavadgita	KK	yes
SA_GE07_bhg4c02u	GE07bhg		Bhagavadgītā 2											23,323.00						
SA_GE07_bhg4c03u	GE07bhg		Bhagavadgītā 3											13,033.00						
SA_GE07_bhg4c04u	GE07bhg		Bhagavadgītā 4											11,039.00						
SA_GE07_bhg4c05u	GE07bhg		Bhagavadgītā 5											8,669.00						
SA_GE07_bhg4c06u	GE07bhg		Bhagavadgītā 6											15,641.00						
SA_GE07_bhg4c07u	GE07bhg		Bhagavadgītā 7											9,639.00						
SA_GE07_bhg4c08u	GE07bhg		Bhagavadgītā 8											7,665.00						
SA_GE07_bhg4c09u	GE07bhg		Bhagavadgītā 9											10,781.00						
SA_GE07_bhg4c10u	GE07bhg		Bhagavadgītā 10											8,426.00						
SA_GE07_bhg4c11u	GE07bhg		Bhagavadgītā 11											10,328.00						
SA_GE07_bhg4c12u	GE07bhg		Bhagavadgītā 12											5,071.00						
SA_GE07_bhg4c13u	GE07bhg		Bhagavadgītā 13											10,127.00						
SA_GE07_bhg4c14u	GE07bhg		Bhagavadgītā 14											6,001.00						
SA_GE07_bhg4c15u	GE07bhg		Bhagavadgītā 15											6,403.00						
