File name	Work ID	Wikipedia link	Full Sanskrit title	Paired Sanskrit English Delivered	Aligned lines	Alignment quality	Source/copyright Sanskrit	source/copyright English	Editor 	Author(s)	Translator (if available)	not before	not after	length (tokens)	Note	Translation available	PDF on Google Drive	Translation details (if no PDF available)	assigned	completed
SA_GK22_ksdarppu	GK22ksdarppu		Darpadalana	TODO						Kṣemendra		900	1099.0	5,544.00		yes	iast from Suhash		SN	no
SA_GK19_bhattiku	GK19bhattiku		Rāvaṇavadha [Bhaṭṭikāvya]	TODO; English is too noisy			suhas			Bhaṭṭi		550	650.0	17,164.00		yes	yes		SN	no
SA_GSP29_nyayasiddhanjana	GSP29nyayasiddhanjana		Nyāyasiddhāñjana	TODO: Waiting for OCR																
SA_GE07_bhg	GE07bhg		Bhagavadgīta	yes	658	gold										yes		Human aligned 	SN	yes
SA_GE07_hv_apppu	GE07hv_apppu		Harivaṃśa (appendix)																	
SA_GE07_hv_conpu	GE07hv_conpu		Harivaṃśa	yes	7973	vecalign	gretil	Dutt, public domain (Project Gutenberg)						109,554.00	github	yes	yes	There seems to be a second Harivamsa in GRETIL -> what is this?	SN	yes
SA_GE07_mbh_02_u	GE07mbh_02_u		Mahābhārata: Sabhāparvan	yes	2117	vecalign high	clay							57,944.00	clay book 7	yes				
SA_GE07_mbh_03_u	GE07mbh_03_u		Mahābhārata: Āraṇyakaparvan	yes	1343	vecalign high	clay							152,964.00	clay book 8	yes				
SA_GE07_mbh_04_u	GE07mbh_04_u		Mahābhārata: Virāṭaparvan	yes	1994	vecalign high	clay							54,728.00	clay book 11	yes				
SA_GE07_mbh_07_u	GE07mbh_07_u		Mahābhārata: Droṇaparvan	yes	1686	vecalign high	clay							122,483.00	clay book 25	yes				
SA_GE07_mbh_08_u	GE07mbh_08_u		7	yes	2165	vecalign high	clay							72,258.00	clay book 16	yes				
SA_GE07_mbh_09_u	GE07mbh_09_u		Mahābhārata: Śalyaparvan	yes	2800	vecalign high	clay							45,335.00	clay book 22+23	yes				
SA_GE07_mbh_u	GE07mbh_u		Mahābhārata	yes	>80.000	gold	itihasa								itihasa	yes			SN	yes
SA_GE09_ram	GE09ram		Rāmāyaṇa	TODO: Not yet in dataset	29,637	vecalign	copyright; alternative source: https://github.com/priyanshu2103/Sanskrit-Hindi-Machine-Translation/tree/main/parallel-corpus/sanskrit-english			Vālmīki					itihasa			human aligned high quality	SN	yes
SA_GE09_ram_02_u	GE09ram_02_u		Rāmāyaṇa: 2. Ayodhyākāṇḍa	yes	1971					Vālmīki				60,536.00	clay book 5	yes				
SA_GE09_ram_02su	GE09ram_02su		Rāmāyaṇa: 2. Ayodhyākāṇḍa	yes	2071	vecalign high	clay			Vālmīki				37,269.00	skip	yes			SN	yes
SA_GK16_dkavy12u	GK16dkavy12u		Kāvyādarśa							Daṇḍin										
SA_GK16_dkavy	GK16dkavy		Kāvyādarśa	yes	435	vecalign	archive			Daṇḍin		500	699.0			yes	yes			
SA_GK16_mamkprku	GK16mamkprku		Kāvyaprakaśa	TODO: Skt is in Dev; redo!	1767	vecalign				Maṃmaṭa [Mammaṭa]				1,168.00		yes	yes			
SA_GK19_agada	GK19agada		Āgamaḍambara	yes	1020	vecalign high	clay			Jayanta Bhatta					clay book 17	yes				
SA_GK19_asvbc_1u	GK19asvbc_1u		Buddhacarita	yes	664	vecalign high	clay			Aśvaghoṣa		80	150.0	16,373.00	clay book 4	yes				
SA_GK19_asvsaunu	GK19asvsaunu		Saundarananda	yes	1075	vecalign high	clay			Aśvaghoṣa		80	150.0	14,994.00	clay book 9	yes				
SA_GK19_bahcar	GK19bahcar		Harṣacarita	yes	2350					Bāṇa				2,971.00	wisdomlib; clay sanskrit library; github	yes		https://www.wisdomlib.org/hinduism/book/the-harsha-charita	SN	yes
SA_GK19_bhadipiu	GK19bhadipiu		Bhāvadīpīka	yes	838	vecalign high	clay			Vema-Bhūpala		1400	1450.0		clay book 24	yes	yes			
SA_GK19_bhall_pu	GK19bhall_pu		Bhallaṭaśataka	yes						Bhallaṭa		800	999.0	2,175.00	clay book 20	yes				
SA_GK19_dandkc_u	GK19dandkc_u		Daśakumāracarita	yes	2065	vecalign	suhas			Daṇḍin		550	650.0	17,935.00		yes	yes		SN	no
SA_GK19_jaygit1u	GK19jaygit1u		Gītagovinda-kāvya	yes	809					Jayadeva		1000	1099.0	4,010.00		yes	yes			
SA_GK19_kakumspu	GK19kakumspu		Kumārasambhava	yes	519	vecalign		Kale archive public domain		Kālidāsa		400	499.0	7,278.00						
SA_GK19_kskala_u	GK19kskala_u		Kalāvilāsa	TODO: not yet in dataset						Kṣemendra		900	1099.0	4,863.00	clay book 20	yes				
SA_GK19_livasau	GK19livasau		Līlāvatīsāra	TODO: not yet in dataset	1506	vecalign high	clay			Jinaratna		1285	1285.0		clay book 10	yes				
SA_GK19_meghdk_u	GK19meghdk_u		Meghadūta	yes	358	vecalign high	clay	Also in the dataset as public domain Kale translation		Kālidāsa		400	499.0	2,262.00	clay book 12	yes				
SA_GK19_nkalivpu	GK19nkalivpu		Kaliviḍambana	TODO: not yet in dataset	570	vecalign high	clay			Nīlakaṇṭha Dīkṣita				1,162.00	clay book 20	yes				
SA_GK19_ragh	GK19ragh		Raghuvaṃśa	yes	468	vecalign	archive	public domain archive		Kālidāsa		400	499.0	4,316.00	github	yes	yes			
