earlier_work	later_work	earlier_title	later_title	base
SA_T06_asabhs_u	SA_T06_abhsubhu	Abhidharmasamuccaya	Abhidharmasamuccayabhāṣya	abhidharmasamuccaya
SA_T06_bsa010_u	SA_T06_sthmavt	Madhyāntavibhāgakārikā	Madhyāntavibhāgaṭīkā	madhyantavibhaga
SA_T07_vakobhk	SA_T07_vakobhau	Abhidharmakośakārikā	Abhidharmakośabhāṣya	abhidharmakosa
SA_GE07_bhg4c01u	SA_GSP33_bhgsbh	Bhagavadgītā 1	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhg4c01u	SA_GSP33_ramgbhpu	Bhagavadgītā 1	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhg4c02u	SA_GSP33_bhgsbh	Bhagavadgītā 2	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhg4c02u	SA_GSP33_ramgbhpu	Bhagavadgītā 2	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhg4c03u	SA_GSP33_bhgsbh	Bhagavadgītā 3	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhg4c03u	SA_GSP33_ramgbhpu	Bhagavadgītā 3	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhg4c04u	SA_GSP33_bhgsbh	Bhagavadgītā 4	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhg4c04u	SA_GSP33_ramgbhpu	Bhagavadgītā 4	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhg4c05u	SA_GSP33_bhgsbh	Bhagavadgītā 5	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhg4c05u	SA_GSP33_ramgbhpu	Bhagavadgītā 5	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhg4c06u	SA_GSP33_bhgsbh	Bhagavadgītā 6	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhg4c06u	SA_GSP33_ramgbhpu	Bhagavadgītā 6	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhg4c07u	SA_GSP33_bhgsbh	Bhagavadgītā 7	Bhagavadgītābhāṣya	bhagavadgita
