work	n_chunks	median	p25	p75	title
SA_GV01_rv_hn04u	12	-1254	-1255	-1248	Ṛgveda: Maṇḍala 4
SA_GV01_rv_04_u	12	-1252	-1255	-1241	Ṛgveda 4
SA_GV01_rv_hn06u	16	-1250	-1256	-1239	Ṛgveda: Maṇḍala 6
SA_GV01_rv_hn05u	15	-1248	-1257	-1245	Ṛgveda: Maṇḍala 5
SA_GV01_rv_05_u	15	-1247	-1251	-1243	Ṛgveda 5
SA_GV01_rv_02_u	9	-1247	-1247	-1231	Ṛgveda 2
SA_GV01_rv_hn01u	41	-1246	-1252	-1240	Ṛgveda: Maṇḍala 1
SA_GV01_rv_hn09u	22	-1245	-1254	-1237	Ṛgveda: Maṇḍala 9
SA_GV01_rv_hn03u	12	-1243	-1247	-1240	Ṛgveda: Maṇḍala 3
SA_GV01_rv_07_u	16	-1242	-1254	-1230	Ṛgveda 7
SA_GV01_rvh1-10u	211	-1241	-1249	-1231	Ṛgveda
SA_GV01_rv_06_u	16	-1241	-1252	-1222	Ṛgveda 6
SA_GV01_rv_hn07u	17	-1239	-1251	-1232	Ṛgveda: Maṇḍala 7
SA_GV01_rv_03_u	12	-1239	-1247	-1234	Ṛgveda 3
SA_GV01_rv_09_u	22	-1238	-1248	-1222	Ṛgveda 9
SA_GV01_rv_hn10u	35	-1238	-1253	-1222	Ṛgveda: Maṇḍala 10
SA_GV01_rv_hn02u	9	-1237	-1243	-1234	Ṛgveda: Maṇḍala 2
SA_GV01_rv_10_u	35	-1235	-1243	-1222	Ṛgveda 10
SA_GV01_rv_hn08u	34	-1234	-1248	-1225	Ṛgveda: Maṇḍala 8
SA_GV01_rv_01_u	40	-1232	-1241	-1224	Ṛgveda 1
SA_GV00_samavedu	38	-1132	-1149	-1118	Sāmaveda-Saṃhitā
SA_GV00_avs___u	115	-1022	-1046	-997	Atharvaveda-Saṃhitā
SA_GV_syajurvedu	22	-1005	-1012	-994	Śukla-Yajurveda
SA_GV00_sa_paippalAdasaMhitA	298	-1000	-1012	-988	Paippalāda-Saṃhitā
SA_GV00_maitrs_pu	124	-999	-1016	-983	Maitrāyaṇī-Saṃhitā
SA_GV00_avs	60	-997	-1015	-987	Atharvaveda-Saṃhitā
SA_GV06_jaimigsu	6	-827	-921	-507	Jaimini-Gṛhyasūtra
SA_GV06_avpray_u	14	-820	-958	-696	Atharvaprāyaścittāni
SA_GV05_sirup_u	2	-812	-832	-793	Śira-Upaniṣad [Atharvaśira-Upaniṣad]
SA_GV02_pncvbr1u	47	-811	-821	-801	Pañcaviṃśabrāhmaṇa
SA_GV02_kausibru	94	-796	-810	-780	Kauṣītaki-Brāhmaṇa [Śāṅkhāyana-Brāhmaṇa]
SA_GV01_rvkhilau	15	-795	-809	-758	The Khila Verses of the Ṛgveda
SA_GV02_gopbra_u	57	-785	-798	-769	Gopathabrāhmaṇa
SA_GV02_gopthbru	8	-780	-786	-776	Gopatha-Brāhmaṇa
SA_GV04_sankharu	17	-753	-791	-698	Śāṅkhāyana-Āraṇyaka
SA_GV03_sb_13_u	14	-715	-741	-705	Śatapatha-Brāhmaṇa 13
SA_GV03_sb_02_u	23	-704	-718	-694	Śatapatha-Brāhmaṇa 2
SA_GV03_sb_03_u	34	-703	-710	-694	
SA_GV03_sb_09_u	17	-701	-705	-693	Śatapatha-Brāhmaṇa 9
SA_GV03_sb_11_u	14	-701	-708	-696	Śatapatha-Brāhmaṇa 11
SA_GV03_sb_14_u	25	-699	-708	-691	Śatapatha-Brāhmaṇa 14
SA_GV03_sb	111	-699	-706	-692	Śatapatha-Brāhmaṇa
SA_GV03_sb_06_u	23	-699	-706	-692	Śatapatha-Brāhmaṇa 6
SA_GV03_sb_01_u	33	-698	-708	-693	Śatapatha-Brāhmaṇa 1
SA_GV03_sb_08_u	20	-698	-705	-689	Śatapatha-Brāhmaṇa 8
SA_GV03_sb_04_u	27	-696	-702	-692	Śatapatha-Brāhmaṇa 4
SA_GV03_sb_07_u	18	-696	-702	-693	Śatapatha-Brāhmaṇa 7
SA_GV03_sb_10_u	13	-689	-700	-684	Śatapatha-Brāhmaṇa 10
SA_GV06_manavgsu	12	-661	-837	-534	Mānava-Gṛhyasūtra [Maitrāyaṇīyamānava-Gṛhyasūtra]
SA_GV05_brup___u	27	-621	-634	-611	Bṛhadāraṇyaka-Upaniṣad
SA_GV06_asvgs_u	9	-617	-649	-320	Āśvalāyana-Gṛhyasūtra
SA_GV05_chup	25	-605	-608	-598	Chāndogya-Upaniṣad
SA_GV05_chup___u	25	-605	-608	-598	Chāndogya-Upaniṣad
SA_GV05_chupsau	79	-600	-612	-591	Chāndogya-Upaniṣad (Śaṅkarabhāṣya)
SA_GV05_chupsb_u	79	-595	-606	-578	
SA_GV05_brupsb5u	9	-593	-603	-583	Bṛhadāraṇyaka-Upaniṣad: Adhyāya 5
SA_GV05_brupsb6u	12	-590	-601	-585	Bṛhadāraṇyaka-Upaniṣad: Adhyāya 6
SA_GV05_brupsb1u	40	-590	-601	-572	
SA_GV05_brupsb2u	23	-589	-604	-568	Bṛhadāraṇyaka-Upaniṣad: Adhyāya 2
SA_K10_sf89_sc	1	-589	-589	-589	
SA_GV05_brupsb4u	30	-580	-594	-524	Bṛhadāraṇyaka-Upaniṣad: Adhyāya 4
SA_GV06_kaussu_u	49	-577	-891	155	Kauśika-Sūtra
SA_GV05_brupsb3u	25	-557	-588	-515	Bṛhadāraṇyaka-Upaniṣad: Adhyāya 3
SA_GV05_aitup__u	2	-542	-555	-529	Aitareya-Upaniṣad
SA_T16_n2916u	1	-496	-496	-496	Svastyayanagāthā
