work	source	n_chunks	ling_est	nb	na	post_median	crI_lo95	crI_hi95	title
SA_MB_carcastavaHK	inferred	15	1221			1070	527	1617	Unknown: carcāstava
SA_GS39_purukadu	anchor	3	1227	750.0	1450.0	1070	724	1408	Kādambarīsvīkaraṇasūtramañjarī
SA_GK21_sokss_pu	anchor	435	1156	1063.0	1081.0	1072	1022	1121	Kathāsaritsāgara
SA_GK16_mamkpb_u	anchor	34	959	1050.0	1100.0	1073	1024	1124	Kāvyaprakaśa
SA_GK16_mamkprku	anchor	3	913	1050.0	1100.0	1073	1026	1123	Kāvyaprakaśa
SA_GK16_mamkavpu	anchor	45	1036	1050.0	1100.0	1074	1025	1122	Kāvyaprakaśa
SA_GSP33_rams11pu	anchor	2	1051	1017.0	1137.0	1074	1003	1145	Śrībhāṣya: 1,1.3
SA_GR13_cakbh_pu	anchor	1	809	1000.0	1158.0	1075	985	1167	Cakrapāṇinātha: Bhāvopahārastotra
SA_MB_kaulopanisadsHK	inferred	18	1218			1076	562	1622	Unknown: kaulopaniṣad
SA_GR13_cakbhavu	anchor	5	1058	1000.0	1158.0	1077	984	1168	Cakrapāṇinātha: Bhāvopahārastotra
SA_T14_n1282u	anchor	2	846	900.0	1322.0	1077	839	1307	Pratimālakṣaṇavivaraṇa
SA_GSP27_motik_1u	inferred	27	1217			1079	576	1599	
SA_MB_pratyabhijnahrdayaHK	inferred	9	1252			1080	499	1648	Unknown: pratyabhijñahṛdaya Text version
SA_T02_n2965u	anchor	3	714	1025.0	1150.0	1082	1009	1154	Kālacakrāvatāra
SA_GSP30_vatnsupu	anchor	3	1151	900.0	1300.0	1082	863	1315	Vātūlanāthasūtra
SA_T02_n800u	anchor	6	611	1000.0	1199.0	1082	964	1197	Sekoddeśapañjikā
SA_GSP28_sastrdiu	anchor	35	823	1000.0	1199.0	1084	970	1200	Śāstradīpikā
SA_MB_janmamaranavicaaraHK	anchor	6	1052	1050.0	1125.0	1086	1037	1135	vāmadeva: janmamaṛanavicāra
SA_T11_rvadrahu	anchor	21	888	1000.0	1200.0	1087	972	1199	Vādarahasya [Udayananirākaraṇa]
SA_MB_saradatilakaHK	anchor	319	988	1000.0	1200.0	1089	973	1202	lakṣmaṇadeśikendra: śāradātilaka
SA_GSP32_vvmanmhu	inferred	18	1234			1089	550	1617	Mānamanohara
SA_GSP33_ramvaspu	anchor	17	693	1050.0	1137.0	1089	1037	1140	Vedārthasaṃgraha
SA_GSP33_ramgbhpu	anchor	64	841	1050.0	1137.0	1090	1040	1144	Bhagavadgītābhāṣya
SA_MB_vatulanathasutraHK	anchor	3	1281	900.0	1300.0	1094	865	1324	vatūlanātha: vātūlanāthasūtra
SA_GSD36_mitaksara	anchor	206	822	1075.0	1126.0	1097	1047	1146	Mitākṣarā, a commentary on the Yājñavalkya-dharmaśāstra
SA_GSD36_sa_vijJAnezvara-mitAkSarA	anchor	245	936	1075.0	1125.0	1098	1049	1147	Mitākṣarā
SA_T02_n2934u	anchor	7	955	1075.0	1125.0	1099	1051	1147	Abhayapaddhati
SA_MB_kaalahastiisavilaasaHK	inferred	17	1238			1100	525	1634	Unknown: kālahastīśavilāsa
SA_GK16_msabdvvu	anchor	4	1037	1050.0	1160.0	1104	1039	1170	Śabdavyāpāravicāra
SA_T02_n2974u	anchor	1	830	1100.0	1115.0	1106	1057	1156	Munimatālaṁkāra
SA_T02_abhnispu	anchor	1	595	1090.0	1125.0	1107	1057	1155	Niṣpannayogāvali
SA_T17_n2944u	anchor	36	718	1111.0	1112.0	1108	1058	1157	Viśvaprakāśa
SA_MB_karpuuraadistotramHK	inferred	11	1271			1109	548	1656	Unknown: karpūrādistotra
SA_MB_isaanagurudevapaddhati-II-HK	anchor	93	654	1050.0	1200.0	1109	1022	1197	īśānaśivagurudeva: īśānaśivagurudevapaddhati Volume 2
SA_MB_iisaanasivagurudevapaddhati4HK	anchor	90	636	1050.0	1200.0	1110	1024	1200	īśānaśivagurudeva: īśānaśivagurudevapaddhati Volume 4
SA_MB_cidgaganacandrika-HK	anchor	7	865	1075.0	1150.0	1111	1062	1157	śrīvatsa: cidgaganacandrikā
SA_MB_somasambhupaddhativyakhyaHK	inferred	38	1257			1111	610	1622	Unknown: somaśambhupaddhativyākhyā
SA_MB_Isaanapaddhati-I-HK	anchor	36	687	1050.0	1200.0	1112	1026	1198	īśānaśivagurudeva: īśānaśivagurudevapaddhati Volume 1
SA_GK19_govass_u	anchor	16	813	1000.0	1299.0	1113	945	1274	Āryāsaptaśatī
SA_MB_iisaanagurudevapaddhati-III-HK	anchor	72	702	1050.0	1200.0	1113	1025	1198	īśānaśivagurudeva: īśānaśivagurudevapaddhati Volume 3
SA_K10_klpdrapu	anchor	10	651	1000.0	1600.0	1115	808	1403	Kalpadrumāvadānamālā
SA_GR13_gorst1pu	anchor	2	578	1000.0	1299.0	1121	947	1293	Gorakṣaśataka
SA_GSP30_mabhai	anchor	138	766	1000.0	1500.0	1122	866	1376	Manthanabhairava Tantra
SA_MB_nityaasodasikaarnavaHK	inferred	115	1257			1123	617	1605	Unknown: nityāṣoḍaśikārṇavatantra with the commentary called setubandha
SA_MB_matatrayaikyaprakasikaHK	inferred	47	1266			1126	623	1646	aiyyaṇācārya: matatrayaikyaprakāśikā
SA_GR13_gorst2pu	anchor	2	851	1000.0	1299.0	1128	952	1303	Gorakṣaśataka
SA_GK16_ruvyavivya_pu	anchor	21	1178	1100.0	1160.0	1129	1080	1176	Vyaktivivekavyākhyā
SA_MB_varunapaddhativyaakhyaaT1034HK	inferred	19	1277			1131	597	1657	Unknown: varuṇpaddhativyākhyā
SA_GS40_rasarnpu	anchor	28	1130	1000.0	1300.0	1133	967	1308	Rasārṇava: Paṭalas 1-12
SA_MB_yogavishayaHK	anchor	1	1015	1000.0	1299.0	1133	962	1317	matsyendrānātha: yogaviṣaya
SA_T17_n2936u	anchor	6	651	1100.0	1175.0	1134	1085	1182	Śabdabhedaprakāśa
SA_GK16_ruyalssu	anchor	10	1001	1100.0	1175.0	1136	1085	1184	Alaṅkārasarvasva
SA_GK16_ruyalscu	anchor	48	1082	1100.0	1175.0	1136	1088	1185	Alaṅkārasarvasva
SA_GK16_ruyalsvu	anchor	41	1102	1100.0	1175.0	1137	1087	1184	Alaṅkārasarvasva
SA_MB_vijnanabhairavaanandabhattaHK	inferred	12	1326			1139	582	1694	Unknown: vijñānabhairava with commentary Kaumadi
SA_GK21_suksaptu	anchor	29	580	1100.0	1199.0	1142	1085	1201	Śukasaptati
SA_MB_jnaanaratnaavaliiHK	anchor	119	833	1100.0	1199.0	1144	1087	1203	jñānaśiva: jñānaratnāvalī
SA_GK23_jonart_pu	anchor	27	783	1100.0	1200.0	1144	1086	1205	Rājataraṅginī
SA_MB_matrkacakravivekaHK	inferred	32	1298			1145	628	1667	svatantrānandanatha: mātṛkācakraviveka
SA_T02_n2910u	anchor	8	851	1100.0	1199.0	1145	1086	1204	Ādikarmapradīpa [Ādikarmapradīpa Bodhicaryāvatāraṭīkā]
SA_T17_vtrksopu	anchor	9	798	1100.0	1199.0	1146	1087	1205	Tarkasopāna
SA_MB_mahotsavavidhikramaHK	anchor	11	809	1100.0	1199.0	1146	1087	1204	aghoraśiva: mahotsavavidhikrama
SA_GK19_bicauppu	anchor	1	706	1099.0	1199.0	1147	1088	1207	Caurapañcāśikā
SA_GR13_jssivppu	anchor	1	903	1100.0	1199.0	1148	1091	1205	Jñānaśambhu: Śivapūjāstava
SA_MB_mrgendravrttidiipikaHK	anchor	2	958	1130.0	1170.0	1148	1102	1198	aghoraśivācārya: mṛgendravṛttidīpikā
SA_GK20_ruysahlu	anchor	1	897	1100.0	1199.0	1148	1091	1206	Sahṛdayalīlā
SA_GR13_kalhans_u	anchor	1	629	1135.0	1165.0	1149	1100	1197	Ardhanārīśvarastotra
SA_MB_kriyaakramadyotikaaHK	anchor	71	1148	1150.0	1160.0	1154	1106	1202	aghorāśiva: krīyakramādyotikā
SA_T02_n2955u	anchor	2	683	1100.0	1217.0	1154	1085	1224	Kriyāsaṁgrahapañjikā
SA_MB_vyasishtaCutpattiprakarnamHK	anchor	238	1101	1000.0	1399.0	1160	943	1382	valmiki: yogavāsiṣṭha part 3 with commentary tātparyaprakāśa
SA_MB_sarvajnaanottaravrittiHK	anchor	2	1169	1150.0	1180.0	1163	1113	1214	aghoraśivācārya: sarvajñānottaravṛttiḥ
SA_MB_Yvaasistha1vairaagyaprakaranamHK	anchor	54	1112	1000.0	1399.0	1165	959	1388	valmiki: yogavāsiṣṭha part 1 with commentary tātparyaprakāśa
SA_MB_YogavaasisthaSampurnamIIORGHK	anchor	618	1100	1000.0	1399.0	1165	949	1389	valmiki: yogavāsiṣṭha part 6 with commentary tātparyaprakāśa
SA_MB_aasaucadiipikaaHK	inferred	16	1338			1166	613	1693	vedajñāna: āśaucyadiipikaa
SA_GR13_goramaru	anchor	2	819	1100.0	1250.0	1167	1081	1260	Āmaraughaśāsana
SA_MB_vyasishthaDsthitiprakaranamHK	anchor	110	1142	1000.0	1399.0	1168	953	1389	valmiki: yogavāsiṣṭha part 4 with commentary tātparyaprakāśa
SA_MB_yogavyasishthaEupasamaprakaranamHK	anchor	183	1140	1000.0	1399.0	1168	962	1383	valmiki: yogavāsiṣṭha part 5 with commentary tātparyaprakāśa
SA_MB_YvaasisthaBmumuksuvyavaharaprakaranamHK	anchor	36	1137	1000.0	1399.0	1169	954	1388	valmiki: yogavāsiṣṭha part 2 with commentary tātparyaprakāśa
SA_GK19_dhoypavu	anchor	4	868	1150.0	1200.0	1172	1124	1220	Pavanadūta
SA_GR13_purekaku	anchor	1	-142	1100.0	1299.0	1181	1062	1295	Ekākṣarakośa
SA_GSP30_vamjanmu	anchor	4	946	1050.0	1400.0	1189	989	1385	Janmamaraṇavicāra
SA_GR13_karatopu	anchor	2	1046	1100.0	1299.0	1191	1075	1304	Karatoyāmāhātmya
SA_GSP27_motik_4u	inferred	38	1361			1196	674	1711	
SA_GP12_dbhp_dgu	anchor	11	653	1100.0	1400.0	1197	1024	1367	Devīgītā [Devībhāgavata-Purāṇa]
SA_GSP29_gangtciu	anchor	27	1222	1150.0	1250.0	1198	1141	1258	Tattvacintāmaṇi
SA_GS40_rascum_u	anchor	31	994	1100.0	1350.0	1203	1062	1341	Rasendracūḍāmaṇi
SA_T07_n797u	anchor	16	875	1150.0	1270.0	1203	1133	1272	Subodhālaṅkāra
SA_GSP27_motik_2u	inferred	21	1370			1203	682	1717	
SA_GK21_soksvppu	anchor	44	1070	1100.0	1350.0	1207	1067	1351	Kathāsaritsāgara
SA_T11_bsa072_u	anchor	16	920	1200.0	1299.0	1207	487	1289	Tarkabhāṣā
SA_MB_GoraksayogasastraHK	anchor	2	621	1100.0	1399.0	1214	1042	1387	gorakṣanātha attributed to: gorakṣayogaśāstram
SA_MB_kriyakramadyotikavyakhyaHK	anchor	44	1099	1157.0	1300.0	1221	1138	1304	kacchapeśvaraśivācārya: kriyakramadyotikavyākhyā
SA_GK16_jaycndpu	anchor	6	1019	1200.0	1290.0	1241	1191	1295	Candrāloka
SA_MB_Kulapradiipa-HK	anchor	23	723	1200.0	1299.0	1243	1185	1302	śivānandācārya: kulapradīpa
SA_GR13_mabhedtu	anchor	12	689	1200.0	1299.0	1244	1185	1301	Mātṛkābhedatantra
SA_GSP33_madhanuu	anchor	39	936	1199.0	1317.0	1251	1181	1318	Anuvyākhyāna
SA_GSP27_motik_3u	inferred	37	1432			1255	739	1749	
SA_GR14_mdhvkmou	anchor	5	627	1240.0	1280.0	1257	1208	1305	Kṛṣṇāmṛtamahārṇava
SA_GS40_vrasrs_u	anchor	24	714	1200.0	1350.0	1259	1174	1349	Rasaratnasamuccaya
SA_GS40_vrasrscu	anchor	66	1074	1200.0	1350.0	1266	1179	1352	Rasaratnasamuccaya
SA_GR14_brhms5cu	anchor	16	1258	1100.0	1500.0	1269	1046	1494	Brahma-Saṃhitā: Adhyāya 5
SA_GS40_nitrrk_u	anchor	83	742	1200.0	1400.0	1271	1152	1389	Rasaratnākara
SA_GSP33_m_mbhtnu	anchor	110	630	1238.0	1317.0	1271	1223	1321	Mahābhāratatātparyanirṇaya
SA_GK16_visvsdpu	anchor	16	812	1200.0	1399.0	1276	1160	1392	Sāhityadarpaṇa
SA_GK16_visah	anchor	86	1051	1200.0	1399.0	1281	1164	1398	Sāhityadarpaṇa (archive bad OCR)
SA_GS40_dhrasciu	anchor	21	1030	1200.0	1400.0	1283	1164	1402	Rasendracintāmaṇi
SA_GS40_rajnighu	anchor	68	829	1200.0	1700.0	1285	1026	1535	Rājanighaṇṭu [Nighaṇṭurāja, Abhidhānacūḍāmaṇi]
SA_GK16_visa05cu	anchor	9	1107	1200.0	1399.0	1286	1169	1398	Sāhityadarpaṇa: Pariccheda 5
