type	arg1	arg2	arg3	note
anchor	SA_GS40_vanighpu	750	1450	[dcs-slot4] Aṣṭāṅganighaṇṭu
anchor	SA_GS39_purukadu	750	1450	[dcs-slot4] Kādambarīsvīkaraṇasūtramañja
anchor	SA_GR13_uddamt_u	1250	1750	[dcs-slot5] Uḍḍāmareśvaratantra
anchor	SA_GR13_bijnighu	750	1450	[dcs-slot4] Bījanighaṇṭu
anchor	SA_GS40_rasadh_u	750	1450	[dcs-slot4] Rasādhyāya
anchor	SA_GS40_rasadhpu	750	1450	[dcs-slot4] Rasādhyāya
anchor	SA_GR13_todaltpu	750	1450	[dcs-slot4] Toḍalatantra
anchor	SA_GV06_avpray_u	-1400	-300	[dcs-slot1] Atharvaprāyaścittāni
